school_id,short_name,long_name,primary_category,is_high_school,is_middle_school,is_elementary_school,is_pre_school,grades_offered_all,grades_offered,student_count_total,student_count_low_income,student_count_special_ed,student_count_english_learners,student_count_black,student_count_hispanic,student_count_white,student_count_asian,student_count_native_american,student_count_other_ethnicity,student_count_asian_pacific_islander,student_count_multi,student_count_hawaiian_pacific_islander,student_count_ethnicity_not_available,title_1_eligible,preschool_inclusive,preschool_instructional,significantly_modified,hard_of_hearing,visual_impairments,transportation_bus,transportation_el,transportation_metra,average_act_school,mean_act,college_enrollment_rate_school,college_enrollment_rate_mean,graduation_rate_school,graduation_rate_mean,overall_rating,rating_status,school_year,network,is_gocps_participant,is_gocps_prek,is_gocps_elementary,is_gocps_high_school,open_for_enrollment_date,closed_for_enrollment_date,school_latitude,school_longitude,zip,multisensory,transition,year_start,pct_low_income,pct_special_ed,pct_english_learners,pct_black,pct_hispanic,pct_white,pct_asian,high_risk
400112,ACERO - IDAR,Acero Charter Schools - Jovita Idar,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,564,453,44,281,2,561,0,0,1,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"51, 52",Orange,Unknown,,,59.75,67.2,81.1,78.9,Level 1,NOT APPLICABLE,2017-18,Charter,N,N,N,N,2011-07-01T00:00:00.000,Unknown,41.801042,-87.708797,60626.0,Unknown,Unknown,2017.0,80.31914893617021,7.801418439716312,49.822695035460995,0.3546099290780142,99.46808510638297,0.0,0.0,1
400157,NOBLE - BAKER HS,Noble - Baker College Prep,HS,Y,N,N,N,"9,10,11,12",9-12,228,216,57,22,182,38,4,1,1,0,0.0,1,1.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"30, 87, 95",Red,Metra Electric District (ME),,,59.75,67.2,81.1,78.9,Level 2+,NOT APPLICABLE,2017-18,Charter,Y,N,N,Y,2013-07-01T00:00:00.000,Unknown,41.734622,-87.556201,60626.0,Unknown,Unknown,2017.0,94.73684210526315,25.0,9.649122807017543,79.82456140350878,16.666666666666664,1.7543859649122806,0.43859649122807015,1
609753,CHICAGO AGRICULTURE HS,Chicago High School for Agricultural Sciences,HS,Y,N,N,N,"9,10,11,12",9-12,767,182,149,11,338,135,270,2,6,0,0.0,15,1.0,0.0,N,Unknown,Unknown,Y,Unknown,Unknown,"52A, 53A, 112",Unknown,Unknown,,,76.7,59.8,83.9,77.5,Level 1+,GOOD STANDING,2017-18,ISP,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.691221,-87.71777,60626.0,Unknown,Unknown,2017.0,23.728813559322035,19.426336375488916,1.4341590612777053,44.06779661016949,17.60104302477184,35.20208604954368,0.2607561929595828,0
610143,REAVIS,William C Reavis Math & Science Specialty ES,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",258,213,45,10,254,0,0,1,0,0,0.0,2,1.0,0.0,Y,Y,Y,Unknown,Unknown,Unknown,"4, 47",Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,GOOD STANDING,2017-18,Network 9,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.804174,-87.604925,60626.0,Unknown,Unknown,2017.0,82.55813953488372,17.441860465116278,3.875968992248062,98.44961240310077,0.0,0.0,0.3875968992248062,1
609863,COLUMBUS,Christopher Columbus Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",267,171,13,106,19,65,171,3,0,0,0.0,8,0.0,1.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"49, 70",Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1,GOOD STANDING,2017-18,ISP,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.899566,-87.681938,60626.0,Unknown,Unknown,2017.0,64.04494382022472,4.868913857677903,39.70037453183521,7.116104868913857,24.344569288389515,64.04494382022472,1.1235955056179776,1
610207,VANDERPOEL,John H Vanderpoel Elementary Magnet School,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,254,152,31,1,250,2,2,0,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"9, 95W, 381, 385",Unknown,Rock Island District (RI),,,59.75,67.2,81.1,78.9,Level 1,GOOD STANDING,2017-18,Network 10,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.720817,-87.665559,60626.0,Unknown,Unknown,2017.0,59.84251968503938,12.204724409448819,0.39370078740157477,98.4251968503937,0.7874015748031495,0.7874015748031495,0.0,1
400156,NOBLE - BUTLER HS,Noble - Butler College Prep,HS,Y,N,N,N,"9,10,11,12",9-12,674,597,137,14,638,27,2,0,0,0,0.0,5,1.0,1.0,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"106, 103, 115",Red,Metra Electric District (ME),,,59.75,67.2,81.1,78.9,Level 2+,NOT APPLICABLE,2017-18,Charter,Y,N,N,Y,2013-07-01T00:00:00.000,Unknown,41.706667,-87.602573,60626.0,Unknown,Unknown,2017.0,88.57566765578635,20.326409495548962,2.0771513353115725,94.65875370919882,4.005934718100891,0.2967359050445104,0.0,1
610157,SAWYER,Sidney Sawyer Elementary School,ES,N,Y,Y,N,"K,1,2,3,4,5,6,7,8",K-8,1460,1129,135,526,4,1435,16,0,4,0,0.0,1,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"51, 52, 52A",Orange,Unknown,,,59.75,67.2,81.1,78.9,Level 2,PROVISIONAL SUPPORT,2017-18,Network 8,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.797498,-87.705006,60626.0,Unknown,Unknown,2017.0,77.32876712328766,9.246575342465754,36.02739726027397,0.273972602739726,98.28767123287672,1.095890410958904,0.0,1
609900,CURTIS,George W Curtis Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",509,420,48,8,485,20,1,0,0,0,0.0,2,1.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"34, 111, 119",Red,Unknown,,,59.75,67.2,81.1,78.9,Level 2+,GOOD STANDING,2017-18,AUSL,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.685418,-87.621653,60626.0,Unknown,Unknown,2017.0,82.5147347740668,9.430255402750491,1.5717092337917484,95.28487229862476,3.9292730844793713,0.19646365422396855,0.0,1
400159,CHRISTOPHER HOUSE,Christopher House Charter School,ES,N,N,Y,Y,"PK,K,1,2,3,4,5,6","PK,K-6",387,262,60,132,8,365,5,0,0,0,0.0,1,1.0,7.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 1+,NOT APPLICABLE,2017-18,Charter,N,N,N,N,2013-07-01T00:00:00.000,Unknown,41.922181,-87.757522,60626.0,Unknown,Unknown,2017.0,67.70025839793283,15.503875968992247,34.10852713178294,2.0671834625323,94.31524547803618,1.2919896640826873,0.0,1
609751,KING HS,Dr  Martin Luther King  Jr  College Prep HS,HS,Y,N,N,N,"9,10,11,12",9-12,513,342,61,12,483,21,1,3,1,0,0.0,4,0.0,0.0,Y,Unknown,Unknown,Y,Unknown,Unknown,"4, 43, 47",Red,Metra Electric District (ME),,,83.4,59.8,88.5,77.5,Level 1+,GOOD STANDING,2017-18,Network 17,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.813675,-87.603874,60626.0,Unknown,Unknown,2017.0,66.66666666666666,11.890838206627679,2.3391812865497075,94.15204678362574,4.093567251461988,0.1949317738791423,0.5847953216374269,0
610218,WARREN,Joseph Warren Elementary School,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",216,140,29,5,215,1,0,0,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 2+,GOOD STANDING,2017-18,Network 12,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.726763,-87.575353,60626.0,Unknown,Unknown,2017.0,64.81481481481481,13.425925925925927,2.314814814814815,99.53703703703704,0.4629629629629629,0.0,0.0,1
609830,BRUNSON,Milton Brunson Math & Science Specialty ES,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",473,311,68,21,422,47,2,0,1,0,0.0,0,1.0,0.0,Y,Y,Unknown,Unknown,Unknown,Unknown,"66, 85",Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 2+,GOOD STANDING,2017-18,Network 3,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.897663,-87.765606,60626.0,Unknown,Unknown,2017.0,65.75052854122622,14.376321353065538,4.439746300211417,89.21775898520085,9.936575052854122,0.42283298097251587,0.0,1
609744,NORTHSIDE LEARNING HS,Northside Learning Center High School,HS,Y,N,N,N,"9,10,11,12",9-12,220,143,220,79,46,115,45,9,2,0,0.0,3,0.0,0.0,Y,Unknown,Unknown,Y,Unknown,Unknown,Unknown,Unknown,Unknown,,,0.0,59.8,0.0,77.5,Inability to Rate,GOOD STANDING,2017-18,Network 14,N,N,N,N,2004-09-01T00:00:00.000,Unknown,41.982973,-87.722386,60626.0,Unknown,Unknown,2017.0,65.0,100.0,35.90909090909091,20.909090909090907,52.27272727272727,20.454545454545457,4.090909090909091,1
610097,NIXON,William P Nixon Elementary School,ES,N,N,Y,Y,"PK,K,1,2,3,4,5,6","PK,K-6",742,707,105,383,13,709,10,5,3,0,0.0,2,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"53, 73",Unknown,Unknown,,,59.75,67.2,81.1,78.9,Level 2,PROVISIONAL SUPPORT,2017-18,Network 4,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.919581,-87.73142,60626.0,Unknown,Unknown,2017.0,95.28301886792453,14.150943396226415,51.61725067385444,1.7520215633423182,95.55256064690026,1.3477088948787064,0.6738544474393532,1
609692,SIMEON HS,Neal F Simeon Career Academy High School,HS,Y,N,N,N,"9,10,11,12",9-12,1341,1137,142,2,1322,14,0,0,0,0,0.0,4,1.0,0.0,Y,Unknown,Unknown,Y,Unknown,Unknown,"24, 79",Red,Unknown,,,61.7,59.8,85.2,77.5,Level 1,GOOD STANDING,2017-18,Network 17,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.745781,-87.63541,60626.0,Unknown,Unknown,2017.0,84.78747203579418,10.58911260253542,0.14914243102162564,98.58314690529456,1.0439970171513795,0.0,0.0,0
400043,HOPE LEARNING ACADEMY,Hope Institute Learning Academy,ES,N,N,Y,N,"K,1,2,3,4,5",K-5,331,286,93,12,301,23,6,1,0,0,0.0,0,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Blue, Brown, Green, Pink","Union Pacific North (UP-N), Union Pacific West (UP-W)",,,59.75,67.2,81.1,78.9,Level 2,PROVISIONAL SUPPORT,2017-18,Contract,N,N,N,N,2009-07-01T00:00:00.000,Unknown,41.883362,-87.668077,60626.0,Unknown,Unknown,2017.0,86.404833836858,28.09667673716012,3.625377643504532,90.93655589123867,6.948640483383686,1.812688821752266,0.3021148036253776,1
609925,KELLMAN,Joseph Kellman Corporate Community ES,ES,N,Y,Y,Y,"PK,K,1,2,3,4,5,6,7,8","PK,K-8",303,268,10,3,297,4,0,0,1,0,0.0,1,0.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"7, 52",Blue,Unknown,,,59.75,67.2,81.1,78.9,Level 2,PROVISIONAL SUPPORT,2017-18,Network 5,Y,N,Y,N,2004-09-01T00:00:00.000,Unknown,41.870168,-87.702163,60626.0,Unknown,Unknown,2017.0,88.44884488448845,3.3003300330033,0.9900990099009901,98.01980198019803,1.3201320132013201,0.0,0.0,1
610304,PHOENIX MILITARY HS,Phoenix Military Academy High School,HS,Y,N,N,N,"9,10,11,12",9-12,545,479,37,37,85,439,5,9,3,0,0.0,2,2.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"20, 49, 126","Blue, Green",Unknown,,,64.6,59.8,92.9,77.5,Level 1+,GOOD STANDING,2017-18,ISP,Y,N,N,Y,2004-09-01T00:00:00.000,Unknown,41.879118,-87.68696,60626.0,Unknown,Unknown,2017.0,87.88990825688073,6.7889908256880735,6.7889908256880735,15.59633027522936,80.55045871559633,0.9174311926605505,1.651376146788991,0
400125,YCCS - ASPIRA PANTOJA,"YCCS-ASPIRA,Antonia Pantoja Alternative HS",HS,Y,N,N,N,"9,10,11,12",9-12,152,122,30,36,5,142,3,0,1,0,0.0,0,1.0,0.0,Y,Unknown,Unknown,Unknown,Unknown,Unknown,"53, 77",Blue,Unknown,,,15.7,59.8,81.1,78.9,Level 1,NOT APPLICABLE,2017-18,Options,N,N,N,N,2012-07-01T00:00:00.000,Unknown,41.938187,-87.727137,60626.0,Unknown,Unknown,2017.0,80.26315789473685,19.736842105263158,23.684210526315788,3.289473684210526,93.42105263157895,1.9736842105263157,0.0,1
